Time resolution is 1 ps
[0] Generating.... | Completed:           0 | Instruction amounts require:         100
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1055 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1065 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! RegWEn from MA to WB: Expected: 0, Received: 1
Time: 1065 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 105
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1065 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1075 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
Warning: Fail! RegWEn from WB to IF: Expected: 0, Received: 1
Time: 1075 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 112
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1085 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
[1085000] Saving Write Back Output4294965631
[1095000] Saving Write Back Output         0
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1095 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1105000] Saving Write Back Output         0
[1115000] Saving Write Back Output         0
[1125000] Saving Write Back Output         0
[1135000] Saving Write Back Output        21
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1135 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1145 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1145 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1145000] Saving Write Back Output        16
[1155000] Saving Write Back Output4294966826
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1155 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1165000] Saving Write Back Output         0
[1175000] Saving Write Back Output         1
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1175 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1185 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1185 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1185000] Saving Write Back Output        10
[1195000] Saving Write Back Output        12
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1195 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1205000] Saving Write Back Output         0
[1215000] Saving Write Back Output         1
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1215 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1225 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1225000] Saving Write Back Output        13
[1235000] Saving Write Back Output       950
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1235 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1245 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1245000] Saving Write Back Output         0
[1255000] Saving Write Back Output         0
[1265000] Saving Write Back Output     13312
[1275000] Saving Write Back Output        10
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1275 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1285 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1285 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1285000] Saving Write Back Output        27
[1295000] Saving Write Back Output        26
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1295 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1305000] Saving Write Back Output         0
[1315000] Saving Write Back Output         1
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1315 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1325 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1325 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1325000] Saving Write Back Output        17
[1335000] Saving Write Back Output4294966883
Warning: Fail! WBSel from Exe to MA: Expected: 1, Received: 0
Time: 1335 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
Time: 1335 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
Warning: Fail! WBSel from Exe to MA: Expected: 0, Received: 1
Time: 1345 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 98
Warning: Fail! WBSel from MA to WB: Expected: 1, Received: 0
Time: 1345 ns  Iteration: 4  Process: /$unit_Agent_sv_3924725293/Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  Scope: $unit_Agent_sv_3924725293.Assertion(INSTRUCTION_WIDTH=32,OPERATION_NUMS=16,IMM_MODE_NUMS=8,ADDR_WIDTH=16,DATA_WIDTH=32,DMEM_DEPTH=1024,IMEM_LENGTH=65536,PC_WIDTH=16,REGFILE_DEPTH=32)::running_assertion  File: D:/Sem2Year3/Redemption/RISC_V_PIPELINE/RISC_V_PIPELINE.srcs/sim_1/new/Assertion.sv Line: 106
[1345000] Saving Write Back Output         0
[1355000] Saving Write Back Output        26
Warning: Fail! WBSel from MA to WB: Expected: 0, Received: 1
